Index,Summary
1,"Accelerator physicist needed. Requires physics/engineering degree, beam optics computation skills, experimental techniques, data analysis experience, and teamwork.  English fluency essential; German proficiency desired."
2,"Applied Physicist needed for LHCb distributed computing.  Develop and maintain Python-based software for high-energy physics data analysis using DIRAC.  Requires software development experience, problem-solving skills, and teamwork.  French proficiency a plus."
3,"Accelerator physicist needed at CERN.  Responsibilities include optics model development, beam dynamics simulations, performance optimization of hadron injector rings and LHC, and conducting experiments. Requires experience in accelerator physics, optics design, beam commissioning, and simulation codes (MAD-X or SixTrack)."
4,"Medical Devices Physicist needed.  Newton Colmore Consulting seeks a physicist for medical device work.  Apply by December 17th, 2021."
5,"Fluidics Physicist position available.  Newton Colmore Consulting is seeking a physicist with expertise in fluidics.  Apply before December 17th, 2021."
6,"Newton Colmore Consulting seeks a Graduate Experimental Engineering Physicist.  The position requires a physics background and experimental engineering skills. Application deadline: December 17, 2021."
7,"Design and procure high-quality accelerator magnets (DC, AC, pulsed, permanent & electromagnets).  Perform magnetic measurements and analysis.  Expertise in pulsed magnets (kickers, septa) required.  Use sophisticated software."
8,"Design, procure, and measure high-quality accelerator magnets (DC, AC, pulsed, permanent & electromagnets).  Expertise in pulsed magnets (kickers, septa) crucial.  Use sophisticated software; supervise contracts; analyze magnetic field quality."
9,"Design and procure high-quality accelerator magnets (DC, AC, pulsed, permanent & electromagnets).  Perform magnetic measurements and analysis.  Expertise in pulsed magnets (kickers, septa) required.  Use sophisticated software."
10,"Postdoctoral researcher position in optics/photonics.  Requires PhD in Physics/Engineering, strong programming (LabView, Matlab), and experience with optical setups.  Biomedical applications focus.  Includes research, teaching, and instrument maintenance.  English fluency required."
11,"Experimental physicist needed for plasma and high-energy-density physics experiments at AWE's Orion laser and international facilities.  Requires a physics degree, research experience, and strong analytical/communication skills.  Training provided."
12,"PhD/MSc physicist/optical scientist/engineer needed.  Expertise in physical modeling, simulation, algorithm development, light sensors, and cameras required.  MATLAB proficiency essential. German and English fluency.  Image processing, C/C++, optical design SW experience a plus."
13,"Experimental physicist needed with microfluidic chip design, fluorescence microscopy experience, and strong physics background. Python data analysis skills a plus."
14,"Experimental Physicist needed with microfluidic chip design, fluorescence microscopy, and strong physics background. Python data analysis skills a plus."
15,"Microfluidics Physicist needed.  Newton Colmore Consulting is seeking a physicist with expertise in microfluidics.  Application deadline: December 10, 2021."
16,"Develop and test new products using physics principles.  Requires MSc/PhD in Physics (5+ years' experience).  Expertise in multiphase flow, fluid dynamics, data analysis, and modeling.  Strong communication skills.  Occasional travel."
17,"Accelerator physicist needed. Requires physics/engineering degree, beam optics computation skills, experience in experimental techniques and data analysis, and excellent English communication. German language skills a plus."
18,Develop and maintain application software for LHCb distributed computing using Python.  Requires experience in High Energy Physics data analysis and software lifecycle.  Teamwork and problem-solving skills essential.  French proficiency or willingness to learn preferred.
19,"Applied Physicist needed for LHCb distributed computing.  Develop and maintain Python-based software,  liaising with data analysts.  Experience in High Energy Physics data analysis required; DIRAC experience a plus.  Strong problem-solving and teamwork skills essential."
20,PhD-level physicist needed for quantum computing research.  Experience in trapped ion chip modeling/design or high-fidelity ion trap gates required.  Strong communication and computer skills essential.
21,"Experimental physicist/engineer needed for electron beam optimization and maintenance of multi-beam mask writers.  Requires international travel (4 months/year), data analysis, and training.  Python, Jira experience preferred. €42,000+ annual salary."
22,"Experimental physicist/engineer needed for electron optics validation.  Requires Master's degree in physics/engineering, Unix/Python/JIRA/Confluence experience, and international travel.  Responsibilities include tool operation, testing, data analysis, troubleshooting, and training.  Salary EUR 45,000+."
23,"A Mathematical Physicist is needed to plan and deliver technical assessments, develop mathematical models and software codes (Fortran, C++, Python), and engage with internal/external stakeholders.  Requires a Physics/Mathematics degree and experience in scientific research and programming.  Specialism in theoretical modelling or FEA advantageous."
24,"Applied physicist needed for design, development, operation, and maintenance of laser systems for ion beam production.  Requires experience in laser resonance ionization spectroscopy, optical systems, and data acquisition.  Supervisory experience a plus.  Shift work and radiation exposure involved."
